Sound,CC00,CC32,PC
Factory/Piano,,,
Concert Grand,121,13,0
Classic Piano,121,4,0
Live Piano,121,6,1
Bright Piano,121,5,1
Pop Grand,121,12,0
Jazz Piano,121,5,0
Rock Piano,121,8,0
M1 Piano,121,2,2
G.Piano Stack 1,121,8,2
Grand Piano RX,121,10,0
Honky-Tonk,121,2,3
Ragtime Piano,121,3,3
Grand&MovingPad,121,9,0
Piano & Vibes,121,6,0
Piano & Strings,121,7,0
Midi Grand & Pad,121,4,1
Harpsichord 1,121,7,6
Harpsichord 8+4’,121,8,6
Classic Clav DNC,121,7,7
Clav,121,5,7
Synth Clav,121,6,7
Clav Wah,121,2,7
Piano Layers,121,6,2
Grand & FM Stack,121,7,2
Grand Piano,121,3,0
Grand RX DEMO,121,11,0
Factory/E. piano,,,
Tine EP Phaser,121,27,4
Tine EP Dyno,121,28,4
Tine EP Amp/Pha,121,29,4
Wet Tine EP,121,31,4
Dist. Tine EP,121,30,4
Bell Tine EP,121,32,4
Classic Tine EP,121,45,4
Suit Case88 EP1,121,34,4
Wurly Logic,121,36,4
Wurly Amp,121,38,4
Tremolo Wurly 1,121,39,4
Tremolo Wurly 2,121,16,4
Wurly Clean,121,41,4
Natural Wurly,121,44,4
Wurly Amp/Comp,121,40,4
Reed EP Clean,121,37,4
VPM Tine,121,17,5
Digi E. Piano,121,14,5
Classic Tines,121,9,5
DW8000 EP,121,11,5
Natural EP,121,43,4
E. Piano Halo,121,1,94
Thin E. Piano,121,9,4
EP+Damper 1,121,25,4
Tine E. Piano 1,121,18,4
Club E. Piano,121,11,4
Suit E.Piano 1,121,20,4
Suit E.Piano 2,121,21,4
Classic Wurly 1,121,17,4
Classic Wurly 2,121,12,4
R&B E. Piano,121,8,4
Factory/Mallet & Bell,,,
Vibraphone 1,121,2,11
Marimba,121,7,12
Marimba Syn Seq,121,8,12
Metallic Syn Seq,121,2,114
Wood&Metal Seq,121,4,114
Xylophone,121,1,13
Glockenspiel,121,2,9
Celesta,121,1,8
Marimba Key Off,121,2,12
Balaphon,121,6,12
Kalimba 1,121,2,108
Kalimba 2,121,1,108
Music Box,121,2,10
Sistro,121,1,9
Orgel,121,1,10
Warm Steel,121,1,114
Vs Bell Boy,121,2,98
Tubular Bell,121,4,14
Bells,121,3,14
Santur,121,1,15
Mallet Clock,121,5,12
Factory/Accordion,,,
Harmonica 1 DN1,121,11,22
Harmonica 1 DN2,121,12,22
Harmonica 2 DN1,121,13,22
Harmonica 3 DN1,121,14,22
Bandoneon DNC,121,11,23
Bandoneon Sync,121,12,23
Bandoneon Short,121,13,23
Tango Accordion,121,10,23
Classic Musette,121,29,21
Musette 1,121,3,21
2 Voices Musette,121,16,21
3 Voices Musette,121,17,21
French Musette,121,18,21
Cassotto 16’,121,12,21
Fisa Master,121,8,21
Fisa Tango,121,1,23
"Fisa 16,4’",121,7,21
"Fisa 16,8’",121,6,21
Accordion,121,24,21
"Accordion 16,4’",121,7,23
"Accordion 16,8’",121,2,23
"Acc.16,8,4’ Plus",121,8,23
Acc.Clarinet OT,121,19,21
Acc. Piccolo OT,121,21,21
Accordion Bass,121,5,23
Acc. & Acc. Bass,121,9,23
"Acc.16,8’ & Bass",121,4,23
Melodica,121,15,22
Steirisch.Akk.1,121,25,21
Steirisch.Akk.2,121,26,21
Factory/Organ,,,
DRAWBARS,121,127,16
Jimmy Organ,121,13,18
Perc. Organ 1,121,9,17
Perc. Organ 2,121,11,17
BX3 Rock 1,121,14,18
BX3 Rock 2,121,15,18
BX3 Rock 3,121,16,18
BX3 Rock 4,121,17,18
BX3 Full,121,6,16
BX3 Jazz,121,20,16
BX3 Jazz Pc.,121,9,18
BX3 Gospel,121,37,16
Gospel Organ 1,121,38,16
Jazz Organ,121,8,16
Organ Low 1,121,39,16
Organ Low 2,121,15,16
Organ Low Pc.,121,4,17
Big Theatre Org.,121,30,16
Theatre Organ 1,121,22,16
Theatre Organ 2,121,23,16
Wunder Organ,121,12,17
VOX Legend,121,11,16
60’s Organ,121,40,16
Pianola,121,6,20
Pipe Tutti 1,121,6,19
Pipe Tutti 2,121,8,19
Pipe Tutti 3,121,9,19
Pipe Tutti 4,121,10,19
Church Pipes,121,4,19
Full Pipes,121,5,19
Flauto Pipes,121,3,20
Pipe Mixture,121,3,19
Pipe Flute 1,121,4,20
Pipe Flute 2,121,5,20
Small Pipe,121,2,20
Positive Organ,121,7,19
Organ Pedal,121,11,32
Factory/Guitar,,,
Concert Gtr DNC,121,20,24
Nylon GuitarDNC,121,18,24
ClassicSteel DNC,121,36,25
RealFolk Gtr DNC,121,34,25
SteelGtrPro DNC,121,19,25
Strum 12Str. DNC,121,33,25
Strat N Cln DNC,121,38,27
Strat N Cln Mute,121,22,28
Dist. Gtr 1 DNC,121,14,30
Crunch Gtr DNC,121,3,29
Stereo Dist.Gtr,121,8,30
Stra.GtrUpDwDNC,121,33,27
Jazz Gtr 1 DNC,121,8,26
Oct. Jazz Guitar,121,9,26
Soft Jazz Guitar,121,5,26
Clean Jazz 1,121,23,27
E.Gtr Ch/Dly DNC,121,35,27
